Ab:sus2 [3, 8, 10] 8 2 
C#:sus4 [1, 6, 8] 1 4 
Bb:min [1, 5, 10] 10 4 
Eb:maj [3, 7, 10] 3 2 
Ab:maj [0, 3, 8] 8 4 
Bb:min [1, 5, 10] 10 2
Ab:maj [0, 3, 8] 8 4 2
Bb:min [1, 5, 10] 10 2
Ab:maj [0, 3, 8] 8 4 2
Bb:min [1, 5, 10] 10 4 
F:min [0, 5, 8] 5 4 
F#:maj [1, 6, 10] 6 4 
Ab:maj [0, 3, 8] 8 2 
C#:maj [1, 5, 8] 1 2 
Eb:min7/b7 [1, 3, 6, 10] 1 2 
Ab:7/b7 [0, 3, 6, 8] 6 2 
F:min [0, 5, 8] 5 2 
Bb:min [1, 5, 10] 10 2 
Eb:min [3, 6, 10] 3 2 
F:min7 [0, 3, 5, 8] 5 2 
Bb:min [1, 5, 10] 10 4 
Bb:maj [2, 5, 10] 10 1 
Bb:min7 [1, 5, 8, 10] 10 3 
Bb:min [1, 5, 10] 10 4 
F:min [0, 5, 8] 5 4 
F#:maj [1, 6, 10] 6 4 
Ab:maj [0, 3, 8] 8 2 
C#:maj [1, 5, 8] 1 2 
Eb:min [3, 6, 10] 3 2 
Ab:maj [0, 3, 8] 8 2 
F:min [0, 5, 8] 5 2 
Bb:min [1, 5, 10] 10 2 
Eb:min [3, 6, 10] 3 2 
F:min7 [0, 3, 5, 8] 5 2 
Bb:min/5 [1, 5, 10] 5 6 
Eb:min [3, 6, 10] 3 2 
Ab:maj [0, 3, 8] 8 2 
C#:maj [1, 5, 8] 1 2 
F#:maj [1, 6, 10] 6 2 
Ab:maj [0, 3, 8] 8 2 
C#:maj [1, 5, 8] 1 2 
F:maj [0, 5, 9] 5 2 
Bb:min [1, 5, 10] 10 2 
Eb:min [3, 6, 10] 3 2 
Ab:maj [0, 3, 8] 8 2 
C#:maj [1, 5, 8] 1 2 
F#:maj [1, 6, 10] 6 2 
Ab:maj [0, 3, 8] 8 2 
Bb:min [1, 5, 10] 10 4 
Eb:min7 [1, 3, 6, 10] 3 4 
Ab:maj/2 [0, 3, 8] 10 4 
Eb:min [3, 6, 10] 3 4 
C:dim [0, 3, 6] 0 2 
Ab:sus4(b7,9) [0, 3, 6, 8, 10] 8 2 
C#:maj/5 [1, 5, 8] 8 2 
F:maj [0, 5, 9] 5 2 
Bb:min [1, 5, 10] 10 2 
Eb:maj/3 [3, 7, 10] 7 2 
Eb:maj [3, 7, 10] 3 4 
F:maj [0, 5, 9] 5 4 
Bb:min [1, 5, 10] 10 4 
Ab:maj [0, 3, 8] 8 4 
F#:maj [1, 6, 10] 6 4 
Ab:maj [0, 3, 8] 8 2 
C#:maj [1, 5, 8] 1 2 
Eb:min7/b7 [1, 3, 6, 10] 1 2 
Ab:maj [0, 3, 8] 8 2 
F:min [0, 5, 8] 5 2 
Bb:min [1, 5, 10] 10 2 
Eb:min [3, 6, 10] 3 2 
F:min7 [0, 3, 5, 8] 5 2 
Bb:min [1, 5, 10] 10 8 
F:min [0, 5, 8] 5 4 
F#:maj [1, 6, 10] 6 4 
Ab:maj [0, 3, 8] 8 2 
C#:maj [1, 5, 8] 1 2 
Eb:min [3, 6, 10] 3 2 
Ab:maj [0, 3, 8] 8 2 
F:min [0, 5, 8] 5 2 
Bb:min [1, 5, 10] 10 2 
Eb:min [3, 6, 10] 3 2 
F:min7 [0, 3, 5, 8] 5 2 
Bb:min/5 [1, 5, 10] 5 6 
Eb:min [3, 6, 10] 3 2 
Ab:maj [0, 3, 8] 8 2 
C#:maj [1, 5, 8] 1 2 
F#:maj [1, 6, 10] 6 2 
Ab:maj [0, 3, 8] 8 2 
C#:maj [1, 5, 8] 1 2 
F:maj [0, 5, 9] 5 2 
Bb:min [1, 5, 10] 10 2 
Eb:min [3, 6, 10] 3 2 
Ab:maj [0, 3, 8] 8 2 
C#:maj [1, 5, 8] 1 2 
F#:maj [1, 6, 10] 6 2 
Ab:maj [0, 3, 8] 8 2 
Bb:min [1, 5, 10] 10 6 
Eb:min [3, 6, 10] 3 2 
Ab:maj [0, 3, 8] 8 2 
C#:maj [1, 5, 8] 1 2 
F#:maj [1, 6, 10] 6 2 
Ab:maj [0, 3, 8] 8 2 
C#:maj [1, 5, 8] 1 2 
F:maj [0, 5, 9] 5 2 
Bb:min [1, 5, 10] 10 2 
Eb:min [3, 6, 10] 3 2 
Ab:maj [0, 3, 8] 8 2 
C#:maj [1, 5, 8] 1 2 
F#:maj [1, 6, 10] 6 2 
Ab:maj [0, 3, 8] 8 2 
Bb:min [1, 5, 10] 10 4 
Eb:min [3, 6, 10] 3 4 
F:min7 [0, 3, 5, 8] 5 2 
Ab:maj [0, 3, 8] 8 2 
F#:maj [1, 6, 10] 6 2 
Ab:maj [0, 3, 8] 8 3 
