C#:sus4 [1, 6, 8] 1 11
F#:sus2 [1, 6, 8] 6 1
C#:sus2 [1, 3, 8] 1 4
C#:min [1, 4, 8] 1 2
E:maj [4, 8, 11] 4 4
A:maj [1, 4, 9] 9 2
A:maj6 [1, 4, 6, 9] 9 2
C#:min [1, 4, 8] 1 8
Ab:min [3, 8, 11] 8 4
E:maj [4, 8, 11] 4 2
B:sus2 [1, 6, 11] 11 2
E:maj [4, 8, 11] 4 2
C#:min [1, 4, 8] 1 2
F#:maj [1, 6, 10] 6 4
B:maj [3, 6, 11] 11 2
E:maj [4, 8, 11] 4 2
F#:maj [1, 6, 10] 6 2
Ab:min [3, 8, 11] 8 2
C#:min [1, 4, 8] 1 2
E:maj [4, 8, 11] 4 2
C#:min [1, 4, 8] 1 6
F#:maj [1, 6, 10] 6 3
E:maj [4, 8, 11] 4 3
Ab:min [3, 8, 11] 8 4
C#:min [1, 4, 8] 1 3
B:maj [3, 6, 11] 11 3
E:maj [4, 8, 11] 4 4
A:maj [1, 4, 9] 9 3
C#:min [1, 4, 8] 1 5
C#:min [1, 4, 8] 1 2
E:maj [4, 8, 11] 4 4
A:maj [1, 4, 9] 9 2
A:maj6 [1, 4, 6, 9] 9 2
C#:min [1, 4, 8] 1 8
Ab:min [3, 8, 11] 8 4
E:maj [4, 8, 11] 4 2
B:sus2 [1, 6, 11] 11 2
E:maj [4, 8, 11] 4 2
C#:min [1, 4, 8] 1 2
F#:maj [1, 6, 10] 6 4
B:maj [3, 6, 11] 11 2
E:maj [4, 8, 11] 4 2
F#:maj [1, 6, 10] 6 2
Ab:min [3, 8, 11] 8 2
C#:min [1, 4, 8] 1 2
E:maj [4, 8, 11] 4 2
C#:min [1, 4, 8] 1 6
F#:maj [1, 6, 10] 6 3
E:maj [4, 8, 11] 4 3
Ab:min [3, 8, 11] 8 4
C#:min [1, 4, 8] 1 3
B:maj [3, 6, 11] 11 3
E:maj [4, 8, 11] 4 4
A:maj [1, 4, 9] 9 3
C#:min [1, 4, 8] 1 6
A:maj [1, 4, 9] 9 4
Ab:min [3, 8, 11] 8 8
Ab:maj [0, 3, 8] 8 4
C#:maj [1, 5, 8] 1 8
