Ab:sus2 [3, 8, 10] 8 4 
C:min [0, 3, 7] 0 4 
F:min [0, 5, 8] 5 2 
Eb:maj [3, 7, 10] 3 2 
C#:maj [1, 5, 8] 1 4 
Bb:min [1, 5, 10] 10 2 
Eb:maj [3, 7, 10] 3 2 
C:min [0, 3, 7] 0 2 
F:maj [0, 5, 9] 5 2 
Bb:min [1, 5, 10] 10 2 
Eb:sus4(b7) [3, 8, 10] 3 2 
Ab:maj [0, 3, 8] 8 8 
C:min [0, 3, 7] 0 4 
F:min [0, 5, 8] 5 4 
Eb:maj [3, 7, 10] 3 4 
C#:maj [1, 5, 8] 1 4 
C#:min [1, 4, 8] 1 4 
Bb:min [1, 5, 10] 10 4 
Eb:maj [3, 7, 10] 3 4 
Ab:maj [0, 3, 8] 8 4 
C:min [0, 3, 7] 0 4 
F:min [0, 5, 8] 5 4 
Eb:maj [3, 7, 10] 3 4 
C#:maj [1, 5, 8] 1 4 
Bb:min [1, 5, 10] 10 8 
Eb:maj [3, 7, 10] 3 4 
Ab:maj [0, 3, 8] 8 4 
C:min [0, 3, 7] 0 4 
F:min [0, 5, 8] 5 2 
Eb:maj [3, 7, 10] 3 2 
C#:maj [1, 5, 8] 1 4 
Bb:min [1, 5, 10] 10 2 
Eb:maj [3, 7, 10] 3 2 
C:min [0, 3, 7] 0 2 
F:maj [0, 5, 9] 5 2 
Bb:min [1, 5, 10] 10 2 
Bb:maj [2, 5, 10] 10 2 
Eb:maj [3, 7, 10] 3 4 
Ab:maj [0, 3, 8] 8 4 
C:min [0, 3, 7] 0 4 
F:min [0, 5, 8] 5 2 
Eb:maj [3, 7, 10] 3 2 
C#:maj [1, 5, 8] 1 4 
Bb:min [1, 5, 10] 10 2 
Eb:maj [3, 7, 10] 3 2 
C:min [0, 3, 7] 0 2 
F:maj [0, 5, 9] 5 2 
Bb:min [1, 5, 10] 10 2 
Eb:maj [3, 7, 10] 3 4 
F:min [0, 5, 8] 5 4 
Ab:maj [0, 3, 8] 8 4 
C#:sus2 [1, 3, 8] 1 4 
F:min [0, 5, 8] 5 1 
Eb:maj [3, 7, 10] 3 1 
Ab:maj [0, 3, 8] 8 2 
E:maj [4, 8, 11] 4 2 
Eb:maj [3, 7, 10] 3 4 
Ab:maj [0, 3, 8] 8 4 
C:min [0, 3, 7] 0 4 
F:min [0, 5, 8] 5 4 
Eb:maj [3, 7, 10] 3 4 
C#:maj [1, 5, 8] 1 6 
C#:min [1, 4, 8] 1 2 
Bb:min [1, 5, 10] 10 4 
Eb:maj [3, 7, 10] 3 4 
Ab:maj [0, 3, 8] 8 4 
C:min [0, 3, 7] 0 4 
F:min [0, 5, 8] 5 4 
Eb:maj [3, 7, 10] 3 4 
C#:maj [1, 5, 8] 1 4 
Bb:min [1, 5, 10] 10 8 
Eb:maj [3, 7, 10] 3 4 
Ab:maj [0, 3, 8] 8 4 
C:min [0, 3, 7] 0 4 
F:min [0, 5, 8] 5 2 
Eb:maj [3, 7, 10] 3 2 
C#:maj [1, 5, 8] 1 4 
Bb:min [1, 5, 10] 10 2 
Eb:maj [3, 7, 10] 3 2 
C:min [0, 3, 7] 0 2 
F:maj [0, 5, 9] 5 2 
Bb:min [1, 5, 10] 10 2 
Bb:maj [2, 5, 10] 10 2 
Eb:maj [3, 7, 10] 3 4 
Ab:maj [0, 3, 8] 8 4 
C:min [0, 3, 7] 0 4 
F:min [0, 5, 8] 5 2 
Eb:maj [3, 7, 10] 3 2 
C#:maj [1, 5, 8] 1 4 
Bb:min [1, 5, 10] 10 2 
Eb:maj [3, 7, 10] 3 2 
C:min [0, 3, 7] 0 2 
F:maj [0, 5, 9] 5 2 
Bb:min [1, 5, 10] 10 2 
Eb:maj [3, 7, 10] 3 2 
Ab:maj [0, 3, 8] 8 4 
C#:maj [1, 5, 8] 1 4 
C:min [0, 3, 7] 0 4 
C#:maj [1, 5, 8] 1 4 
Bb:min [1, 5, 10] 10 2 
Eb:maj [3, 7, 10] 3 2 
E:maj [4, 8, 11] 4 4 
A:maj [1, 4, 9] 9 4 
C#:min [1, 4, 8] 1 4 
F#:min [1, 6, 9] 6 2 
E:maj [4, 8, 11] 4 2 
D:maj [2, 6, 9] 2 4 
B:min [2, 6, 11] 11 2 
E:maj [4, 8, 11] 4 2 
C#:min [1, 4, 8] 1 2 
F#:maj [1, 6, 10] 6 2 
B:min [2, 6, 11] 11 2 
E:maj [4, 8, 11] 4 2 
A:sus2 [4, 9, 11] 9 4 
B:min [2, 6, 11] 11 2 
E:maj [4, 8, 11] 4 7 
A:maj [1, 4, 9] 9 4 
D:maj [2, 6, 9] 2 2 
D:min [2, 5, 9] 2 3 
A:maj [1, 4, 9] 9 4 
