Bb:sus2 [0, 5, 10] 10 2 
Ab:maj [0, 3, 8] 8 4 
Bb:min [1, 5, 10] 10 3 
C#:maj [1, 5, 8] 1 1 
Ab:maj [0, 3, 8] 8 4 
Bb:min [1, 5, 10] 10 4 
Ab:maj [0, 3, 8] 8 4 
Bb:min [1, 5, 10] 10 2 
C#:maj [1, 5, 8] 1 2 
Ab:maj [0, 3, 8] 8 4 
Bb:min [1, 5, 10] 10 4 
Ab:maj [0, 3, 8] 8 4 
Bb:min [1, 5, 10] 10 4 
Ab:maj [0, 3, 8] 8 4 
Bb:min [1, 5, 10] 10 2 
C#:maj [1, 5, 8] 1 2 
Ab:maj [0, 3, 8] 8 2 
Eb:min [3, 6, 10] 3 2 
Bb:min [1, 5, 10] 10 2 
F#:maj [1, 6, 10] 6 2 
Ab:maj [0, 3, 8] 8 2 
Bb:min [1, 5, 10] 10 4 
C#:maj [1, 5, 8] 1 2 
Ab:maj [0, 3, 8] 8 2 
Eb:min [3, 6, 10] 3 2 
Bb:min [1, 5, 10] 10 2 
C#:maj [1, 5, 8] 1 2 
Ab:maj [0, 3, 8] 8 2 
F#:maj [1, 6, 10] 6 2 
Ab:maj [0, 3, 8] 8 2 
C#:maj/5 [1, 5, 8] 8 2 
Ab:maj [0, 3, 8] 8 2 
Eb:min [3, 6, 10] 3 2 
Bb:min [1, 5, 10] 10 2 
F#:maj [1, 6, 10] 6 2 
Ab:maj [0, 3, 8] 8 2 
Bb:min [1, 5, 10] 10 6 
Ab:maj [0, 3, 8] 8 4 
Bb:min [1, 5, 10] 10 2 
C#:maj [1, 5, 8] 1 2 
Ab:maj [0, 3, 8] 8 4 
Bb:min [1, 5, 10] 10 2 
F#:maj [1, 6, 10] 6 2 
Ab:maj [0, 3, 8] 8 2 
Bb:min [1, 5, 10] 10 6 
Ab:maj [0, 3, 8] 8 4 
Bb:min [1, 5, 10] 10 4 
Ab:maj [0, 3, 8] 8 4 
Bb:min [1, 5, 10] 10 2 
C#:maj [1, 5, 8] 1 2 
Ab:maj [0, 3, 8] 8 2 
Eb:min [3, 6, 10] 3 2 
Bb:min [1, 5, 10] 10 2 
F#:maj [1, 6, 10] 6 2 
Ab:maj [0, 3, 8] 8 2 
Bb:min [1, 5, 10] 10 4 
C#:maj [1, 5, 8] 1 2 
Ab:maj [0, 3, 8] 8 2 
Eb:min [3, 6, 10] 3 2 
Bb:min [1, 5, 10] 10 2 
C#:maj [1, 5, 8] 1 2 
Ab:maj [0, 3, 8] 8 2 
F#:maj [1, 6, 10] 6 2 
Ab:maj [0, 3, 8] 8 2 
C#:maj/5 [1, 5, 8] 8 2 
Ab:maj [0, 3, 8] 8 2 
Eb:min [3, 6, 10] 3 2 
Bb:min [1, 5, 10] 10 2 
F#:maj [1, 6, 10] 6 2 
Ab:maj [0, 3, 8] 8 2 
Bb:min [1, 5, 10] 10 4 
F#:maj [1, 6, 10] 6 2 
Ab:maj [0, 3, 8] 8 2 
C#:maj [1, 5, 8] 1 2 
Ab:maj [0, 3, 8] 8 2 
F#:maj/3 [1, 6, 10] 10 2 
Ab:maj [0, 3, 8] 8 2 
Eb:min/b3 [3, 6, 10] 6 2 
F:maj [0, 5, 9] 5 4 
C#:maj [1, 5, 8] 1 2 
Ab:maj [0, 3, 8] 8 2 
Eb:min [3, 6, 10] 3 2 
Bb:min [1, 5, 10] 10 2 
C#:maj [1, 5, 8] 1 2 
Ab:maj [0, 3, 8] 8 2 
F#:maj [1, 6, 10] 6 2 
Ab:maj [0, 3, 8] 8 2 
C#:maj/5 [1, 5, 8] 8 2 
Ab:maj [0, 3, 8] 8 2 
Eb:min [3, 6, 10] 3 2 
Bb:min [1, 5, 10] 10 2 
F#:maj [1, 6, 10] 6 2 
Ab:maj [0, 3, 8] 8 2 
Bb:min [1, 5, 10] 10 4 
F#:maj [1, 6, 10] 6 2 
Ab:maj [0, 3, 8] 8 2 
Bb:min [1, 5, 10] 10 2 
Ab:maj [0, 3, 8] 8 4 
Bb:min [1, 5, 10] 10 2 
C#:maj [1, 5, 8] 1 2 
Ab:maj [0, 3, 8] 8 4 
