E:sus2 [4, 6, 11] 4 4 
Eb:min [3, 6, 10] 3 4 
C#:min [1, 4, 8] 1 2 
F#:maj [1, 6, 10] 6 2 
B:maj [3, 6, 11] 11 2 
Eb:7/b7 [1, 3, 7, 10] 1 1 
Eb:min7 [1, 3, 6, 10] 3 1 
E:maj7 [2, 4, 8, 11] 4 4 
Eb:min [3, 6, 10] 3 4 
C#:min [1, 4, 8] 1 2 
F#:maj [1, 6, 10] 6 2 
B:maj [3, 6, 11] 11 8 
E:maj [4, 8, 11] 4 4 
C#:min [1, 4, 8] 1 2 
F#:maj [1, 6, 10] 6 2 
B:sus2 [1, 6, 11] 11 2 
C#:min/b3 [1, 4, 8] 4 1 
F#:maj [1, 6, 10] 6 1 
B:maj [3, 6, 11] 11 4 
Ab:min [3, 8, 11] 8 2 
E:maj [4, 8, 11] 4 2 
C#:min [1, 4, 8] 1 2 
F#:maj [1, 6, 10] 6 2 
B:maj [3, 6, 11] 11 2 
C#:maj [1, 5, 8] 1 1 
D:min [2, 5, 9] 2 1 
Eb:min [3, 6, 10] 3 4 
Ab:min [3, 8, 11] 8 4 
C#:min [1, 4, 8] 1 4 
F#:maj [1, 6, 10] 6 4 
Eb:min [3, 6, 10] 3 4 
Ab:min [3, 8, 11] 8 4 
C#:maj [1, 5, 8] 1 4 
F#:maj [1, 6, 10] 6 4 
E:maj [4, 8, 11] 4 4 
Eb:min [3, 6, 10] 3 4 
C#:min [1, 4, 8] 1 2 
F#:sus2 [1, 6, 8] 6 2 
B:maj [3, 6, 11] 11 4 
Eb:sus4 [3, 8, 10] 3 4 
Ab:min7 [3, 6, 8, 11] 8 2 
F:dim [5, 8, 11] 5 2 
C#:min [1, 4, 8] 1 4 
F#:sus4 [1, 6, 11] 6 4 
E:maj [4, 8, 11] 4 4 
Eb:min [3, 6, 10] 3 4 
C#:min [1, 4, 8] 1 2 
F#:sus2 [1, 6, 8] 6 2 
B:maj [3, 6, 11] 11 4 
Eb:sus4 [3, 8, 10] 3 4 
Ab:min7 [3, 6, 8, 11] 8 2 
F:dim [5, 8, 11] 5 2 
C#:min [1, 4, 8] 1 2 
F#:sus4(b7) [1, 6, 11] 6 2 
B:maj [3, 6, 11] 11 4 
E:maj [4, 8, 11] 4 4 
Eb:min [3, 6, 10] 3 4 
C#:min [1, 4, 8] 1 2 
F#:maj [1, 6, 10] 6 2 
B:maj [3, 6, 11] 11 4 
E:maj [4, 8, 11] 4 4 
Eb:min7 [1, 3, 6, 10] 3 4 
C#:min [1, 4, 8] 1 2 
F#:maj [1, 6, 10] 6 2 
B:maj [3, 6, 11] 11 8 
E:maj [4, 8, 11] 4 4 
C#:min [1, 4, 8] 1 2 
F#:maj [1, 6, 10] 6 2 
B:sus2 [1, 6, 11] 11 2 
B:maj [3, 6, 11] 11 6 
E:maj [4, 8, 11] 4 4 
C#:min [1, 4, 8] 1 2 
F#:maj [1, 6, 10] 6 2 
B:maj [3, 6, 11] 11 4 
Eb:min [3, 6, 10] 3 4 
Ab:min [3, 8, 11] 8 4 
C#:min [1, 4, 8] 1 4 
F#:maj [1, 6, 10] 6 4 
Eb:min [3, 6, 10] 3 4 
Ab:min [3, 8, 11] 8 4 
C#:maj [1, 5, 8] 1 4 
F#:maj [1, 6, 10] 6 4 
E:maj [4, 8, 11] 4 4 
Eb:min [3, 6, 10] 3 4 
C#:min [1, 4, 8] 1 2 
F#:sus2 [1, 6, 8] 6 2 
B:maj [3, 6, 11] 11 4 
Eb:sus4 [3, 8, 10] 3 4 
Ab:min7 [3, 6, 8, 11] 8 2 
F:dim [5, 8, 11] 5 2 
C#:min [1, 4, 8] 1 4 
F#:sus4 [1, 6, 11] 6 4 
E:maj [4, 8, 11] 4 4 
Eb:min [3, 6, 10] 3 4 
C#:min [1, 4, 8] 1 2 
F#:sus2 [1, 6, 8] 6 2 
B:maj [3, 6, 11] 11 4 
Eb:sus4 [3, 8, 10] 3 4 
Ab:min7 [3, 6, 8, 11] 8 2 
F:dim [5, 8, 11] 5 2 
C#:min [1, 4, 8] 1 2 
F#:sus4(b7) [1, 6, 11] 6 2 
B:maj [3, 6, 11] 11 4 
E:maj [4, 8, 11] 4 4 
Eb:min [3, 6, 10] 3 4 
C#:min [1, 4, 8] 1 2 
F#:7 [1, 4, 6, 10] 6 3 
B:maj [3, 6, 11] 11 5 
