C:sus2 [0, 2, 7] 0 10 
C:maj [0, 4, 7] 0 2 
A:min [0, 4, 9] 9 4 
F:maj [0, 5, 9] 5 1 
G:maj [2, 7, 11] 7 3 
C:maj [0, 4, 7] 0 2 
G:maj [2, 7, 11] 7 2 
C:maj [0, 4, 7] 0 2 
G:maj [2, 7, 11] 7 2 
A:min [0, 4, 9] 9 3 
E:min [4, 7, 11] 4 1 
C:maj [0, 4, 7] 0 2 
G:maj [2, 7, 11] 7 1 
A:min [0, 4, 9] 9 5 
F:maj [0, 5, 9] 5 2 
G:maj [2, 7, 11] 7 3 
A:min [0, 4, 9] 9 3 
F:maj [0, 5, 9] 5 4 
A:min [0, 4, 9] 9 4 
C:maj [0, 4, 7] 0 2 
G:maj [2, 7, 11] 7 2 
A:min [0, 4, 9] 9 2 
E:min [4, 7, 11] 4 2 
F:maj [0, 5, 9] 5 2 
G:maj [2, 7, 11] 7 2 
C:maj [0, 4, 7] 0 2 
G:maj [2, 7, 11] 7 2 
C:maj [0, 4, 7] 0 2 
G:maj [2, 7, 11] 7 2 
A:min [0, 4, 9] 9 2 
E:min [4, 7, 11] 4 2 
C:maj [0, 4, 7] 0 2 
G:maj [2, 7, 11] 7 2 
A:min [0, 4, 9] 9 4 
F:maj [0, 5, 9] 5 2 
G:maj [2, 7, 11] 7 2 
C:maj7/7 [0, 4, 7, 10] 11 2 
A:min [0, 4, 9] 9 2 
F:maj [0, 5, 9] 5 4 
A:min [0, 4, 9] 9 4 
F:maj [0, 5, 9] 5 4 
C:maj [0, 4, 7] 0 4 
F:maj [0, 5, 9] 5 2 
E:maj [4, 8, 11] 4 2 
A:min [0, 4, 9] 9 4 
F:min [0, 5, 8] 5 4 
C:maj7/7 [0, 4, 7, 10] 11 2 
A:min [0, 4, 9] 9 2 
D:min [2, 5, 9] 2 4 
A:min [0, 4, 9] 9 8 
C:maj [0, 4, 7] 0 6 
G:maj [2, 7, 11] 7 2 
A:min [0, 4, 9] 9 2 
E:min [4, 7, 11] 4 2 
F:maj [0, 5, 9] 5 2 
G:maj [2, 7, 11] 7 2 
C:maj [0, 4, 7] 0 2 
G:maj [2, 7, 11] 7 2 
C:maj [0, 4, 7] 0 2 
G:maj [2, 7, 11] 7 2 
A:min [0, 4, 9] 9 2 
E:min [4, 7, 11] 4 2 
C:maj [0, 4, 7] 0 2 
G:maj [2, 7, 11] 7 2 
A:min [0, 4, 9] 9 4 
F:maj [0, 5, 9] 5 2 
G:maj [2, 7, 11] 7 4 
A:min [0, 4, 9] 9 2 
F:maj [0, 5, 9] 5 4 
A:min [0, 4, 9] 9 4 
C:maj [0, 4, 7] 0 4 
A:min [0, 4, 9] 9 2 
E:min [4, 7, 11] 4 2 
C:maj [0, 4, 7] 0 2 
G:maj [2, 7, 11] 7 2 
A:min [0, 4, 9] 9 4 
F:maj [0, 5, 9] 5 2 
G:maj [2, 7, 11] 7 2 
C:maj [0, 4, 7] 0 1 
G:maj/3 [2, 7, 11] 11 1 
A:min [0, 4, 9] 9 2 
F:maj [0, 5, 9] 5 4 
A:min [0, 4, 9] 9 4 
C:maj [0, 4, 7] 0 2 
G:maj [2, 7, 11] 7 2 
A:min [0, 4, 9] 9 2 
E:min [4, 7, 11] 4 2 
F:maj [0, 5, 9] 5 2 
G:maj [2, 7, 11] 7 2 
C:maj [0, 4, 7] 0 2 
G:maj [2, 7, 11] 7 2 
C:maj [0, 4, 7] 0 2 
G:maj [2, 7, 11] 7 2 
A:min [0, 4, 9] 9 2 
E:min [4, 7, 11] 4 2 
C:maj [0, 4, 7] 0 2 
G:maj [2, 7, 11] 7 2 
A:min [0, 4, 9] 9 4 
F:maj [0, 5, 9] 5 2 
G:maj [2, 7, 11] 7 2 
C:maj7/7 [0, 4, 7, 10] 11 2 
A:min [0, 4, 9] 9 1 
A:min7 [0, 4, 7, 9] 9 1 
F:maj [0, 5, 9] 5 4 
A:min [0, 4, 9] 9 4 
F:maj [0, 5, 9] 5 4 
C:maj [0, 4, 7] 0 4 
F:maj [0, 5, 9] 5 2 
F:maj6 [0, 2, 5, 9] 5 2 
A:min [0, 4, 9] 9 4 
F:min [0, 5, 8] 5 4 
C:maj7/7 [0, 4, 7, 10] 11 2 
A:min [0, 4, 9] 9 2 
D:min [2, 5, 9] 2 4 
A:min [0, 4, 9] 9 4 
F:min [0, 5, 8] 5 4 
C:maj7/7 [0, 4, 7, 10] 11 2 
A:min [0, 4, 9] 9 2 
D:min [2, 5, 9] 2 4 
A:min [0, 4, 9] 9 8 
G:maj [2, 7, 11] 7 4 
A:sus2 [4, 9, 11] 9 4 
E:sus4 [4, 9, 11] 4 3 
E:maj [4, 8, 11] 4 3 
A:min [0, 4, 9] 9 2 
