C:maj/3 [0, 4, 7] 4 3 
E:maj [4, 8, 11] 4 3 
A:min [0, 4, 9] 9 3 
B:maj [3, 6, 11] 11 3 
A:min [0, 4, 9] 9 6 
B:maj [3, 6, 11] 11 3 
E:min [4, 7, 11] 4 9 
A:min [0, 4, 9] 9 3 
B:maj [3, 6, 11] 11 3 
A:min [0, 4, 9] 9 6 
B:maj [3, 6, 11] 11 3 
E:min [4, 7, 11] 4 9 
A:min [0, 4, 9] 9 3 
G:maj [2, 7, 11] 7 6 
A:min [0, 4, 9] 9 3 
B:maj [3, 6, 11] 11 3 
E:min [4, 7, 11] 4 9 
A:min [0, 4, 9] 9 3 
B:maj [3, 6, 11] 11 3 
A:min [0, 4, 9] 9 6 
B:maj [3, 6, 11] 11 3 
E:min [4, 7, 11] 4 9 
A:min [0, 4, 9] 9 3 
G:maj [2, 7, 11] 7 6 
A:min [0, 4, 9] 9 3 
B:maj [3, 6, 11] 11 3 
E:min [4, 7, 11] 4 6 
A:min [0, 4, 9] 9 3 
D:maj [2, 6, 9] 2 3 
G:maj [2, 7, 11] 7 3 
B:maj [3, 6, 11] 11 3 
A:min [0, 4, 9] 9 6 
B:maj [3, 6, 11] 11 3 
E:min [4, 7, 11] 4 3 
A:min [0, 4, 9] 9 3 
D:maj [2, 6, 9] 2 3 
G:maj [2, 7, 11] 7 3 
E:min [4, 7, 11] 4 3 
A:min [0, 4, 9] 9 3 
B:maj [3, 6, 11] 11 3 
E:min [4, 7, 11] 4 9 
A:min [0, 4, 9] 9 3 
B:maj [3, 6, 11] 11 3 
A:min [0, 4, 9] 9 6 
B:maj [3, 6, 11] 11 3 
E:min [4, 7, 11] 4 9 
A:min [0, 4, 9] 9 3 
G:maj [2, 7, 11] 7 5 
B:maj [3, 6, 11] 11 1 
A:min [0, 4, 9] 9 3 
B:maj [3, 6, 11] 11 3 
E:min [4, 7, 11] 4 9 
A:min [0, 4, 9] 9 3 
B:maj [3, 6, 11] 11 3 
A:min [0, 4, 9] 9 6 
B:maj [3, 6, 11] 11 3 
E:min [4, 7, 11] 4 9 
A:min [0, 4, 9] 9 3 
G:maj [2, 7, 11] 7 3 
B:maj [3, 6, 11] 11 3 
A:min [0, 4, 9] 9 3 
B:maj [3, 6, 11] 11 3 
E:min [4, 7, 11] 4 6 
A:min [0, 4, 9] 9 3 
D:maj [2, 6, 9] 2 3 
G:maj [2, 7, 11] 7 3 
B:maj [3, 6, 11] 11 3 
A:min [0, 4, 9] 9 6 
B:maj [3, 6, 11] 11 3 
E:min [4, 7, 11] 4 3 
A:min [0, 4, 9] 9 3 
D:maj [2, 6, 9] 2 3 
G:maj [2, 7, 11] 7 3 
E:min [4, 7, 11] 4 3 
A:min [0, 4, 9] 9 3 
B:maj [3, 6, 11] 11 3 
E:min [4, 7, 11] 4 9 
A:min [0, 4, 9] 9 12 
B:maj [3, 6, 11] 11 3 
E:min [4, 7, 11] 4 9 
A:min [0, 4, 9] 9 3 
G:maj [2, 7, 11] 7 3 
B:maj [3, 6, 11] 11 3 
A:min [0, 4, 9] 9 3 
B:maj [3, 6, 11] 11 3 
E:min [4, 7, 11] 4 9 
A:min [0, 4, 9] 9 3 
G:maj [2, 7, 11] 7 3 
B:maj [3, 6, 11] 11 3 
A:min [0, 4, 9] 9 3 
B:maj [3, 6, 11] 11 3 
E:min [4, 7, 11] 4 6 
A:min [0, 4, 9] 9 3 
B:maj [3, 6, 11] 11 3 
A:min [0, 4, 9] 9 6 
B:maj [3, 6, 11] 11 3 
E:min [4, 7, 11] 4 9 
A:min [0, 4, 9] 9 3 
B:maj [3, 6, 11] 11 3 
A:min [0, 4, 9] 9 6 
B:maj [3, 6, 11] 11 3 
E:min [4, 7, 11] 4 4 
